label,data
2,...nepi ayeuna mun inget indung kadang sok cirambay sorangan teu pupuguh. Kaduhung emg sok paneuri. Matak nu boga kneh indung heg sing enya2 birul walidhain...
1,"""Hidup aing, kumaha aing"" Kalo hidup maneh nyinggung hidup aing, sok weh jadi urusan aing."
4,"""Insidious1 aja, udah bikin muringkak. Komo Insidious2, bakal muringak muringkak. Engke Insidious3, jadi muringkak muringkak muringkak"" :)))"
3,"""Kami fokeus di AFC..hahahahaha.."" ngeunah seuri kieu..padahal geus make jurus undur2 dan jurus nyali nyali alasan.."
4,"""Mah potoin iin ih sama jurig itu"" bari jeung ngadegdeg sieun di ceke"
2,"4 taun sakola na, karunya mah kaka kelas urang 7 taun sakola didinya hungkul watir :("
3,"Aa kasep hatur nuhun, eneng bingah pisan ninggalna"
3,Aaaaawww meuni bungah kieu aduh
2,Aah..sok nyeredet kana hate Duh.. bet teu puguk rarasaan
3,"aallah, bungah kacida mereun eta si jk hate na bisa collab jeung charlie puth. Nu didieu ge bungah, komo nu diditu wkwkw"
4,Aamiin... Hariwang nempo kondisi makin kieu teh jujur weh.
3,"Abah Guus Endink bungah ningali rekor can pernah eleh di BPL, tapi langkung bingah deui anjeunna tiasa maenkeun pemaen ngora."
2,"Abdi mah sok sararedih lamun ningali batur ngangge acuk anyar, abdi mah teu gaduh acuk lebaran"
3,Abdi meuni bungah pisan poe iue
2,"Abdi nempo setatusna, bari nyurucud karuar cai soca, teu kiat abdi nu nalangsa, emut wae kana seratanNana. (Derrys)"
2,"Abdi ngangkeun kana dosa abdi, mugi gusti ngahapunteun ka abdi, margi teu aya anu tiasa ngahaputeun kana dosa abdi kajabi gusti"
3,"abdi ngaraos bingah ningal iket sunda tos mendunia deui hehe, mugi sadaya budaya sunda gé tiasa ngiring mendunia pa .."
3,Abdi teu ngartos tapi abdi seserian ningali si tetehna seserian
3,abdi tiasa diajar tina komentar2 nu aya di website fersib teh.. meuni bungah pisan hate abdi
1,ABEH GE TEU NYANGKA! HARAPAN INDAH SESAAT MUSNAH KU RASA AROGAN! HAKAN GOBLOG TAH GENGSI!
4,Abi gawe di rs boromeus sararoak kieu:(
4,Abi ge kapikiran kieu Mun mudik kamari2 teh tapi malah sieun dijalan na keh kalah kena
2,"Abi hungkul nu ngarasa karunya, meuni polos pisan pak.. :)"
2,Abi karunya warga NU di tukang ka banjiran wae Atos 3 poe berturut turut :(
3,abi mah nyuaks buka sareng ndog ge Alhamdulillah tos nuhuns pisan
4,abimah sok sieun nempo mata essien teh ari batur sieun teu nya nempo mata abi? :((((((((
2,"acara ke Lampungnya bisa kga si di undur,hadeuh mimin kga bisa ngikut asa hayang leweh ai kieu teh, Bingung."
4,"aduh abdi ts ngadegdeg ,sieun ampun ah"
4,Aduh ajjg degdegan kieu sieun korona
3,aduh alhamdulillah seuri ngakak ieu mah HAHAHAHAHA
