label,data
anger,"sok geura leungit atuh sia teh corona, matak gelo yeuh aing unggal poe gogoleran"
anger,"Nu katoel katuhu nu nyerina kenca, goblog wasitna"
joy,Bingah pisan patepang sareng pangerasa. Sing katampi kalayan pinuh midulur...
fear,asa hariwang kieu.. lalakon hirup teh asa nyorangan.. asa ieu mah..
anger,"Orang mana sih anying, sampis pisan. Bunuh ae lah bunuh"
sadness,nya prihatin siih tp kedah kitu at pak Bozz hapuntn abi tos kmh wntu
joy,sae nya kang ai tos ningal kompak kitu teh bingah ningal nage..:-D sok janten kangen ai emut bndung teh
sadness,"Cai soca ngeclak mun emut kana dosa, rumasa raga lamokot dosa, ngungudag dunya taya reureuhna, teu kabayang kumaha engke di alam baka"
anger,"Gokar! Punteun, buat yg masih pd nongkrong yg masih jalan2 gajelas, punteun ieu mah, ari sia goblog2 teuing sih:(( Sia terpapar korona di luar nu di imah ge beunang! Cik karunya ka diri sorangan teh gobloggg Cicing heula saminggu mah dripda cicing di r.isolasi teu kaluar2 sateh."
anger,"kumah pernahnya naik angkot dari Cihampelas trs turun di baso bujangan, kan 2rb Aja ya, manalagi aku pake seragam mah osok murah.. tpi akuteh ngasih 5rb da lagi bageur.. Eh si mamang na kalah ngomong ""belegug budak teh, kalah mere loba."" aNJING PISAN EUY GEUS DIBERE TEH"
anger,"Sorry kang, abdi mah TEU PERCAYA ka HUKUM nu kieu PATUT. HUKUM MILIK BURUY KECEBONG. nepi ka iraha oge teu rido teu sudi dilicikan. Teu hayang damai mun can jujur jeung adil. Akang teu kudu ngajak2 kabeh rakyat kudu sabalong jeung si ABU JANDA, embung geuleuh!!"
joy,"Bingah ninggal bajaj di jakarta aya sticker Pikiran Rakyat, jadi hoyong geura uwih ka Bandung"
sadness,rada nyeredet kanu manah ngadangu suara bebeledagan petasan teu tiasa ngempeul sreng kluarga..
anger,Anjing pisan eta budak letik keneh wani ka awewe si aniing setan budak haram hungkul kesel
fear,baru aja update tentang corona :( bener aja kan tuh di depok 2 orang udah positif :( sieun
sadness,"Karunya si bapa, cing dilancarkeun rejekina"
fear,Sarieun kemarin di riung Bdg udah ada yg corona suganteh bohong :(
sadness,"Sedih ningali persib ayeuna, latihan ngan 10 jelema... Sedih adek baang :')"
fear,"Haruh ya allahh, ngabirigidig bakat ku sieun di carekan"
joy,Ngeunah seuri ya Allah. Nuhun. Sing sarehat
anger,Aya aya wae ... Atuh dukun ...ah ngeraken daerah ..pasihan hukum nu ngarah jera pak pol asa kacida
fear,di jalan oten sepi banget liwat dinya bulu kuduk saya berdiri tegak.. Sumpang sieun...
fear,Teu wani urang mah mun nga WA kitu. Sieun di ayun ku om
fear,"muringkak sagala bulu mun ngadenge lagu lengser wengi , anjislah"
fear,anjiiiir sumpah ngabirigidig yeuh bulu kuduk sieun...
anger,NYA MEUNGGEUS ATUH GOBLOG KUMAHA SIA WAE LAH PADULI BAGONG
joy,Alhamdulillah Final Finis ke 7 Dari 20 pembalap padahal dari Gr ..Nuhun ka Gusti Allah .. Warga Pantura bisa Balap.....
joy,Nuansa kieu nuhun gusti langit hari senin kali ini menyejukan hati yang rungsing
fear,"Cuacana kieu tibaheula ge da pasti flu,batuk,hareeng.ngan kusabab keur usum si corola,jadi weh asa hariwang."
fear,"anjir meni segitunya, grgr corona langsung sarieun:(("
fear,asli ngarinding ngadenge lengser wengi
sadness,Hampura kana dosa nu tekarasa bisi aya basa carita nu kurang ngenah kana manah ngarana hubungan pasti aya tapakna
anger,Arema goblog . Manajemen goblog . Persija goblog . Dejek goblok . Ismed goblog . Mantan goblok ninggalkeun aing kawin
joy,Berkah buka puasa kU ... hatur nuhun Gusti Allah... lama ngga puasa terasa nikmat... mashaa Allah
joy,Alhamdulillah meuni nikmat pulang2 dikasih makanan Desa
anger,Deuh leyek ku aing da sia!!!
sadness,ya alloh .ngajerit hate ..ngajerit gusti ... nuhun sobb ..nuhun kanggo anjeun nu salila ieu dipika deudeuh ...nuhun
joy,Alhamulilah nambah ilmu dan keyakinan untuk meningkatkan iman kita dlm menghadapi musibah ini
joy,Teuing kunaoan tiap ningali video ieu asa hayang milu seuseurian wae. Meuni pulen kitu
joy,Alhamdulillah gubernur urang mah ges mah kasep pinter bageur
fear,Muringkak bulu kelek aingah ngadenge sora anak hayam wayah kieu
joy,Aselinya hayang seuri ngagakgak
joy,Alhamdulillah tiasa gumujeng raos ku mang adeng sareng mira.
anger,"Lamun sakirana masih butuh, tong sok nyapirakeun, Goblog! Rudet pisan."
anger,Ngeraken garut wae siamah plokk ah.
sadness,urang ges kaleungitan dika nu baheula nu resep ka agama sok cicing di musholah ngeclak ci panon kana sajadah
sadness,"Sok sedih ari nga dangu sora takbir teh sok inget ka kolot :'( , sadar""kolot ayena geus eweuh :'( asa kumaha mah ieu hate teh gusti :'("
joy,"Ngeunaheun kieu nuansa. Ngomong teu ngalarti tapi ngilu ngabarakatak, arayu pula."
fear,"Bieu kang ngalangkung, keueung pisan"
joy,Kang Sule (Seniman Sajati). Nyakakak waé Abdi mah ningal Mang Jajang Minton di BSW. Sanggem Abdi mah BSW=Buktos Sanés Waos.
fear,"baru kali itu abah bekerja dugi ka poek mongkleng, pas basa abah ke ruangan bos abah melewati ruang tunggu yang sepi abah merasa muringkak"
fear,Lain soal toleransi atau soal kadar kaimanan. Ieu soal kolot nu hariwang nempo pergaulan barudak jaman ayeuna. Ulah diantep mun aya kamaksiatan teh euy.
fear,asli pa waas + keueung upami kaayaan nuju wabah kieu mah
joy,Alhamdulillah ya allah:)nuhun gusti saya sudah bisa menjalankan ibadah tengah malam nuhun gusti:)
joy,"Hujan ngaririncik , hudang sare bus ka dapur ,ningali kolot jeung dulur keur siduru bari ngulub hui jeung sampeu, ka ayaan nu matak endah ka bina bina , lain bungah ku harta tapi bungah ku kawaasan hirup nu sa ayana,"
anger,PADULI BAGONG AH SIA TE RESEP KA AING GE DA AING GE TE RESEP
fear,hirup di jalan mah sarieun. bieu aya dei nu ninggal kecelakaan.
anger,sia Boga kalakuan goreng ka batur acan aya babales na nya ka sia?!sok dagoan siah KARMA!ayeuna salamet tapi jaga sia pasti boga turunan
sadness,Sok hyg ceurik ai geus kieuteh:( karasa ku didieu nalangsa na gustii
fear,aslina.. Mun jalan dinya ge asa keueung
joy,"Nuhun pisan ka nu nyieun euy, aing ngabarakatak maca reply2na"
sadness,"Asa sararedih ngadangu carita aya pengusaha muda sukses Banung anu hilap ka pun ibuna. Sietana hirup mewah sementara ibu, bumina we bochor"
fear,abimah sok sieun nempo mata essien teh ari batur sieun teu nya nempo mata abi? :((((((((
anger,Asli tangkurak na kudu di rujad keun areuweuh ahlakan
sadness,Cai soca teu kariksa rahet manah nu teu kahaja mugi janten pangampura ucap lampah nu teu kajaga tur samudaya kalepatan Wilujeng boboran siam
fear,"Wayah kieu ngadenge sora manuk uncuing , anjis jol muringkak"
joy,"Enya,,, komo ningali kamu akumah bungah pisan sing demi."
joy,"Allhamdulillah jalmi anu sasarengan sareng abi ayeuna ageung kasabaran, seer ngelehan, hnt egois, hnt ngutamakeun hobby, hnt cuek, ajeuna bisa sabar tina sagala tingkah abi anu awon sarrng bbudakeun"
fear,Dunya téh asa keueung teu aya nu jum'atan mah..
joy,Hayang wae seri teu kuat nyeuri kulit beuteng ka mang adeung sing di panjangkeun umur na nya .. aminnnnn is tong Kitu
